"MARCA","MODELO","KM","R$","LITROS","DATAINI","DIAS","MEDIAKM/L","PIORKM/L","MELHORKM/L","R$/KM"
"Honda","City 1.5","1952","853.80","278.23","2013-08-02","76","7.02","9.34","6.54","0.44"
"Ford","ECOSPORT XLT 2.0 Aut","1067","586.65","205.12","2013-08-12","58","5.20","6.70","6.28","0.55"
